Title,Author,Language,Start date,End date,Time spent,Year published,Number of pages,Type,Rating
Norwegian Wood,Haruki Murakami,Dutch,27-12-2021,2-1-2022,7,1987,317,Paperback,5
Your Best Year Ever,Michael Hyatt,English,1-1-2022,9-1-2022,9,2018,272,Kindle,3
De Plaats van de Ster,Patrick Modiano,Dutch,3-1-2022,10-1-2022,8,1968,155,Hardcover,2
Het Zoutpad,Raynor Winn,Dutch,10-1-2022,12-1-2022,3,2018,320,Paperback,5
Nobody Knows You,Michael Humblet,English,12-1-2022,13-1-2022,2,2020,191,Paperback,2
De Stad der Blinden,José Saramago,Dutch,13-1-2022,15-1-2022,3,1995,329,Paperback,3
Ruined by Design,Mike Monteiro,English,15-1-2022,22-1-2022,8,2019,222,Paperback,2
Meditations,Marcus Aurelius,English,18-9-2021,7-2-2022,143,180,240,Kindle,3
Four Thousand Weeks,Oliver Burkeman,English,15-2-2022,22-2-2022,8,2021,273,Hardcover,4
Schaaknovelle,Stefan Zweig,Nederlands,1-3-2022,1-3-2022,1,1942,88,Paperback,3
Ontwapend,"Koen Metsu, Julien De Wit",Nederlands,23-1-2022,4-3-2022,41,2021,208,Paperback,2
The Tao of Pooh,Benjamin Hoff,English,2-3-2022,5-3-2022,4,1982,176,Paperback,2
Hart der Duisternis,Joseph Conrad,Nederlands,6-3-2022,12-3-2022,7,1899,160,Paperback,3
Casino Royale,Ian Fleming,Nederlands,15-3-2022,22-3-2022,8,1953,178,Paperback,3
The Magician's Nephew,C.S. Lewis,English,28-3-2022,6-4-2022,10,1955,221,Audiobook,3
"The Lion, The Witch and the Wardrobe",C.S. Lewis,English,7-4-2022,13-4-2022,7,1950,206,Audiobook,3
De Barbaren,Alessandro Baricco,Nederlands,21-3-2022,21-5-2022,62,2006,245,Paperback,2
Bezonken Rood,Jeroen Brouwers,Nederlands,22-5-2022,24-5-2022,3,1981,132,Audiobook,4
"Hoera, Ik Heb een Date!",Karina De Ruyck,Nederlands,25-5-2022,6-6-2022,13,2007,169,Paperback,3
21 Lessen voor de 21e Eeuw,Yuval Noah Harari,Nederlands,24-5-2022,15-6-2022,23,2018,405,Audiobook,3
Middernachtbibliotheek,Matt Haig,Nederlands,6-6-2022,16-6-2022,11,2020,320,Paperback,4
Slaap!,Annelies Verbeke,Nederlands,14-6-2022,21-6-2022,8,2003,160,Paperback,3
De Vreemdeling,Albert Camus,Nederlands,17-6-2022,22-6-2022,6,1942,140,Audiobook,3
